puzzle_size,nAnts_alg0,nAnts_alg2,nAnts_alg3,nAnts_alg4,threads_alg0,threads_alg2,threads_alg3,threads_alg4,numcolonies_alg0,numcolonies_alg2,numcolonies_alg3,numcolonies_alg4,numacs_alg0,numacs_alg2,numacs_alg3,numacs_alg4,q0_alg0,q0_alg2,q0_alg3,q0_alg4,rho_alg0,rho_alg2,rho_alg3,rho_alg4,bve_alg0,bve_alg2,bve_alg3,bve_alg4,timeout_alg0,timeout_alg2,timeout_alg3,timeout_alg4,success_rate_alg0,success_rate_alg2,success_rate_alg3,success_rate_alg4,time_mean_alg0,time_mean_alg2,time_mean_alg3,time_mean_alg4,time_std_alg0,time_std_alg2,time_std_alg3,time_std_alg4,iter_mean_alg0,iter_mean_alg2,iter_mean_alg3,iter_mean_alg4,with_comm_alg0,with_comm_alg2,with_comm_alg3,with_comm_alg4,without_comm_alg0,without_comm_alg2,without_comm_alg3,without_comm_alg4,cp_initial_mean_alg0,cp_initial_mean_alg2,cp_initial_mean_alg3,cp_initial_mean_alg4,cp_ant_mean_alg0,cp_ant_mean_alg2,cp_ant_mean_alg3,cp_ant_mean_alg4,cp_total_mean_alg0,cp_total_mean_alg2,cp_total_mean_alg3,cp_total_mean_alg4,acs_time_mean_alg0,acs_time_mean_alg2,acs_time_mean_alg3,acs_time_mean_alg4,dcm_aco_time_mean_alg0,dcm_aco_time_mean_alg2,dcm_aco_time_mean_alg3,dcm_aco_time_mean_alg4,coop_game_mean_alg0,coop_game_mean_alg2,coop_game_mean_alg3,coop_game_mean_alg4,pheromone_fusion_mean_alg0,pheromone_fusion_mean_alg2,pheromone_fusion_mean_alg3,pheromone_fusion_mean_alg4,public_path_mean_alg0,public_path_mean_alg2,public_path_mean_alg3,public_path_mean_alg4,communication_time_mean_alg0,communication_time_mean_alg2,communication_time_mean_alg3,communication_time_mean_alg4,cp_percentage_alg0,cp_percentage_alg2,cp_percentage_alg3,cp_percentage_alg4,acs_time_percentage_alg0,acs_time_percentage_alg2,acs_time_percentage_alg3,acs_time_percentage_alg4,dcm_aco_time_percentage_alg0,dcm_aco_time_percentage_alg2,dcm_aco_time_percentage_alg3,dcm_aco_time_percentage_alg4,coop_game_percentage_alg0,coop_game_percentage_alg2,coop_game_percentage_alg3,coop_game_percentage_alg4,pheromone_fusion_percentage_alg0,pheromone_fusion_percentage_alg2,pheromone_fusion_percentage_alg3,pheromone_fusion_percentage_alg4,public_path_percentage_alg0,public_path_percentage_alg2,public_path_percentage_alg3,public_path_percentage_alg4,communication_time_percentage_alg0,communication_time_percentage_alg2,communication_time_percentage_alg3,communication_time_percentage_alg4
2020_00312,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.190381,0.071474,0.160597,0.067989,0.185531,0.088373,0.141418,0.073202,184.08,55.46,169.19,58.46,N/A,15,N/A,23,N/A,85,N/A,77,0.000094,0.000104,0.000094,0.000102,0.117206,0.042007,0.096353,0.038847,0.117301,0.042111,0.096447,0.038949,0.073081,0.028680,N/A,N/A,N/A,N/A,0.064150,0.028205,N/A,N/A,0.001943,0.000786,N/A,N/A,0.000040,0.000036,N/A,N/A,0.000430,0.000153,N/A,0.000683,N/A,0.000836,61.61,58.92,60.06,57.29,38.39,40.13,N/A,N/A,N/A,N/A,39.94,41.48,N/A,N/A,1.21,1.16,N/A,N/A,0.02,0.05,N/A,N/A,0.27,0.22,N/A,0.96,N/A,1.23
2020_00333,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.157825,0.076806,0.207572,0.079205,0.118430,0.071055,0.201585,0.084071,154.10,58.80,223.33,69.18,N/A,19,N/A,27,N/A,81,N/A,73,0.000093,0.000104,0.000093,0.000103,0.097472,0.045096,0.124351,0.045151,0.097565,0.045200,0.124445,0.045254,0.060260,0.030865,N/A,N/A,N/A,N/A,0.083127,0.032769,N/A,N/A,0.002549,0.000933,N/A,N/A,0.000045,0.000039,N/A,N/A,0.000572,0.000185,N/A,0.000740,N/A,0.001183,61.82,58.85,59.95,57.14,38.18,40.19,N/A,N/A,N/A,N/A,40.05,41.37,N/A,N/A,1.23,1.18,N/A,N/A,0.02,0.05,N/A,N/A,0.28,0.23,N/A,0.96,N/A,1.49
2020_00340,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.236325,0.085636,0.196999,0.081651,0.206920,0.074937,0.192658,0.076164,237.20,68.03,211.86,71.97,N/A,20,N/A,19,N/A,80,N/A,81,0.000097,0.000103,0.000095,0.000103,0.143992,0.050034,0.117383,0.046552,0.144090,0.050137,0.117478,0.046655,0.092235,0.034659,N/A,N/A,N/A,N/A,0.079522,0.034225,N/A,N/A,0.002388,0.000968,N/A,N/A,0.000042,0.000037,N/A,N/A,0.000535,0.000190,N/A,0.000839,N/A,0.000771,60.97,58.55,59.63,57.14,39.03,40.47,N/A,N/A,N/A,N/A,40.37,41.92,N/A,N/A,1.21,1.19,N/A,N/A,0.02,0.04,N/A,N/A,0.27,0.23,N/A,0.98,N/A,0.94
2020_00341,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.250387,0.118452,0.194145,0.077210,0.218888,0.100482,0.150665,0.074587,228.13,81.81,197.32,64.17,N/A,34,N/A,20,N/A,66,N/A,80,0.000091,0.000110,0.000095,0.000102,0.153696,0.069948,0.116796,0.044234,0.153787,0.070058,0.116891,0.044336,0.096600,0.046880,N/A,N/A,N/A,N/A,0.077255,0.032031,N/A,N/A,0.002218,0.000847,N/A,N/A,0.000041,0.000041,N/A,N/A,0.000493,0.000168,N/A,0.001513,N/A,0.000843,61.42,59.14,60.21,57.42,38.58,39.58,N/A,N/A,N/A,N/A,39.79,41.49,N/A,N/A,1.14,1.10,N/A,N/A,0.02,0.05,N/A,N/A,0.25,0.22,N/A,1.28,N/A,1.09
2020_00357,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.069080,0.033056,0.066388,0.029622,0.063404,0.031123,0.061711,0.030097,84.08,33.22,86.64,31.88,N/A,3,N/A,4,N/A,97,N/A,96,0.000120,0.000127,0.000115,0.000128,0.041542,0.018667,0.038728,0.016087,0.041662,0.018794,0.038843,0.016215,0.027418,0.014199,N/A,N/A,N/A,N/A,0.027546,0.013198,N/A,N/A,0.001011,0.000419,N/A,N/A,0.000041,0.000036,N/A,N/A,0.000221,0.000078,N/A,0.000063,N/A,0.000208,60.31,56.85,58.51,54.74,39.69,42.95,N/A,N/A,N/A,N/A,41.49,44.56,N/A,N/A,1.52,1.42,N/A,N/A,0.06,0.12,N/A,N/A,0.33,0.26,N/A,0.19,N/A,0.70
2020_00358,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.081469,0.037490,0.059648,0.026218,0.086708,0.032054,0.058820,0.026270,94.39,35.48,72.57,26.51,N/A,4,N/A,4,N/A,96,N/A,96,0.000110,0.000122,0.000111,0.000122,0.049247,0.021451,0.035024,0.014203,0.049357,0.021573,0.035135,0.014324,0.032112,0.015915,N/A,N/A,N/A,N/A,0.024513,0.011711,N/A,N/A,0.000859,0.000352,N/A,N/A,0.000042,0.000039,N/A,N/A,0.000194,0.000063,N/A,0.000002,N/A,0.000183,60.58,57.54,58.90,54.64,39.42,42.45,N/A,N/A,N/A,N/A,41.10,44.67,N/A,N/A,1.44,1.34,N/A,N/A,0.07,0.15,N/A,N/A,0.33,0.24,N/A,0.01,N/A,0.70
2020_00361,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.079798,0.039065,0.056946,0.024553,0.069659,0.033967,0.051937,0.017910,84.73,33.91,65.23,23.42,N/A,2,N/A,0,N/A,98,N/A,100,0.000103,0.000116,0.000106,0.000117,0.049053,0.022593,0.033974,0.013551,0.049156,0.022709,0.034080,0.013669,0.030642,0.016229,N/A,N/A,N/A,N/A,0.022866,0.010884,N/A,N/A,0.000761,0.000305,N/A,N/A,0.000042,0.000037,N/A,N/A,0.000167,0.000054,N/A,0.000127,N/A,0.000000,61.60,58.13,59.85,55.67,38.40,41.54,N/A,N/A,N/A,N/A,40.15,44.33,N/A,N/A,1.34,1.24,N/A,N/A,0.07,0.15,N/A,N/A,0.29,0.22,N/A,0.32,N/A,0.00
2020_00363,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.086600,0.044606,0.053717,0.027554,0.077129,0.035913,0.043868,0.026135,101.39,43.02,66.16,28.26,N/A,4,N/A,3,N/A,96,N/A,97,0.000114,0.000124,0.000116,0.000128,0.052318,0.025547,0.031488,0.014980,0.052432,0.025672,0.031604,0.015108,0.034168,0.018839,N/A,N/A,N/A,N/A,0.022114,0.012376,N/A,N/A,0.000785,0.000373,N/A,N/A,0.000041,0.000036,N/A,N/A,0.000171,0.000069,N/A,0.000095,N/A,0.000071,60.54,57.55,58.83,54.83,39.46,42.23,N/A,N/A,N/A,N/A,41.17,44.92,N/A,N/A,1.46,1.35,N/A,N/A,0.08,0.13,N/A,N/A,0.32,0.25,N/A,0.21,N/A,0.26
2020_00374,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.072627,0.043011,0.063227,0.027864,0.069287,0.037973,0.058459,0.028826,79.41,38.75,74.56,26.96,N/A,6,N/A,3,N/A,94,N/A,97,0.000112,0.000117,0.000111,0.000120,0.044033,0.024713,0.037203,0.015252,0.044144,0.024831,0.037314,0.015373,0.028483,0.017958,N/A,N/A,N/A,N/A,0.025913,0.012421,N/A,N/A,0.000860,0.000349,N/A,N/A,0.000044,0.000035,N/A,N/A,0.000187,0.000065,N/A,0.000223,N/A,0.000071,60.78,57.73,59.02,55.17,39.22,41.75,N/A,N/A,N/A,N/A,40.98,44.58,N/A,N/A,1.36,1.25,N/A,N/A,0.07,0.13,N/A,N/A,0.30,0.23,N/A,0.52,N/A,0.25
2020_00376,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.070635,0.033616,0.062643,0.026185,0.055381,0.032302,0.059851,0.023485,79.48,31.93,77.72,27.07,N/A,3,N/A,1,N/A,97,N/A,99,0.000115,0.000127,0.000116,0.000123,0.042748,0.018998,0.036713,0.014250,0.042864,0.019125,0.036829,0.014373,0.027771,0.014313,N/A,N/A,N/A,N/A,0.025815,0.011768,N/A,N/A,0.000895,0.000345,N/A,N/A,0.000041,0.000036,N/A,N/A,0.000197,0.000063,N/A,0.000179,N/A,0.000044,60.68,56.89,58.79,54.89,39.32,42.58,N/A,N/A,N/A,N/A,41.21,44.94,N/A,N/A,1.43,1.32,N/A,N/A,0.07,0.14,N/A,N/A,0.31,0.24,N/A,0.53,N/A,0.17
