puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_45_99,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.288129,1.657684,62.05,18,82,0.004577,1.702434,1.707011,N/A,0.577416,0.018790,0.001185,0.000599,0.003702,74.60,N/A,25.24,0.82,0.05,0.03,0.16
inst25x25_50_1,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.292774,0.169450,11.94,0,100,0.005015,0.201309,0.206323,N/A,0.086451,0.002903,0.001269,0.000091,0.000000,70.47,N/A,29.53,0.99,0.43,0.03,0.00
inst25x25_50_11,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.147230,0.090804,6.81,0,100,0.005235,0.092167,0.097402,N/A,0.049828,0.001538,0.000766,0.000049,0.000000,66.16,N/A,33.84,1.04,0.52,0.03,0.00
inst25x25_50_14,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.285425,0.319401,14.06,1,99,0.005320,0.195443,0.200763,N/A,0.084662,0.003848,0.000827,0.000107,0.000001,70.34,N/A,29.66,1.35,0.29,0.04,0.00
inst25x25_50_16,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.188800,0.084390,7.61,0,100,0.004945,0.123382,0.128326,N/A,0.060475,0.001701,0.000971,0.000054,0.000000,67.97,N/A,32.03,0.90,0.51,0.03,0.00
inst25x25_50_17,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.526578,0.494626,23.69,2,98,0.005261,0.376377,0.381638,N/A,0.144939,0.006691,0.001095,0.000186,0.000001,72.48,N/A,27.52,1.27,0.21,0.04,0.00
inst25x25_50_18,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.184412,8.154373,143.55,21,79,0.005253,1.505643,1.510896,N/A,1.612464,0.044933,0.000904,0.001082,0.061052,47.45,N/A,50.64,1.41,0.03,0.03,1.92
inst25x25_50_21,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.142015,0.080536,6.86,0,100,0.005255,0.089147,0.094402,N/A,0.047613,0.001607,0.000713,0.000047,0.000000,66.47,N/A,33.53,1.13,0.50,0.03,0.00
inst25x25_50_26,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.215725,6.740382,58.55,7,93,0.005319,0.531367,0.536687,N/A,0.672799,0.017964,0.000932,0.000355,0.006239,44.15,N/A,55.34,1.48,0.08,0.03,0.51
inst25x25_50_29,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.561535,0.507530,20.18,1,99,0.004878,0.404365,0.409244,N/A,0.152283,0.005524,0.001233,0.000179,0.000008,72.88,N/A,27.12,0.98,0.22,0.03,0.00
inst25x25_50_34,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.603973,1.424834,56.47,13,87,0.004871,1.177550,1.182421,N/A,0.416264,0.016957,0.001379,0.000479,0.005289,73.72,N/A,25.95,1.06,0.09,0.03,0.33
inst25x25_50_44,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.200736,0.116358,8.46,0,100,0.005130,0.131872,0.137002,N/A,0.063734,0.001889,0.001039,0.000061,0.000000,68.25,N/A,31.75,0.94,0.52,0.03,0.00
inst25x25_50_50,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.072782,1.079455,38.17,6,94,0.004840,0.788215,0.793055,N/A,0.278451,0.011189,0.001256,0.000342,0.001277,73.93,N/A,25.96,1.04,0.12,0.03,0.12
inst25x25_50_51,4,3,4,3,0.9,0.9,0.005,120.0,100.00,5.548457,14.475933,212.94,41,59,0.005019,2.576482,2.581501,N/A,2.878806,0.066842,0.001213,0.001856,0.088150,46.53,N/A,51.88,1.20,0.02,0.03,1.59
inst25x25_50_57,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.877172,1.864135,71.05,19,81,0.004952,1.357107,1.362059,N/A,0.504500,0.021500,0.001419,0.000577,0.010613,72.56,N/A,26.88,1.15,0.08,0.03,0.57
inst25x25_50_64,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.134939,0.107085,7.00,0,100,0.005427,0.084006,0.089433,N/A,0.045506,0.001635,0.000761,0.000050,0.000000,66.28,N/A,33.72,1.21,0.56,0.04,0.00
inst25x25_50_69,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.480149,1.973334,66.01,19,81,0.005250,1.034123,1.039372,N/A,0.433313,0.019873,0.001443,0.000519,0.007464,70.22,N/A,29.27,1.34,0.10,0.04,0.50
