puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_45_96,3,3,3,2,0.5,0.9,0.005,120.0,100.00,8.617671,9.254443,316.16,83,17,0.006031,5.454747,5.460778,N/A,3.069597,0.006741,0.000011,0.010294,0.087296,63.37,N/A,35.62,0.08,0.00,0.12,1.01
inst25x25_45_97,3,3,3,2,0.5,0.9,0.005,120.0,39.00,49.122184,30.498528,2001.21,38,1,0.006659,14.081053,14.087711,N/A,34.213482,0.044208,0.000101,0.067114,0.820990,28.68,N/A,69.65,0.09,0.00,0.14,1.67
inst25x25_45_99,3,3,3,2,0.5,0.9,0.005,120.0,100.00,14.544321,12.418437,543.21,95,5,0.006757,8.196068,8.202825,N/A,6.153812,0.011922,0.000021,0.018334,0.187685,56.40,N/A,42.31,0.08,0.00,0.13,1.29
inst25x25_50_1,3,3,3,2,0.5,0.9,0.005,120.0,100.00,0.578402,0.550532,32.79,3,97,0.007517,0.422901,0.430417,N/A,0.145766,0.000712,0.000018,0.000925,0.002217,74.41,N/A,25.20,0.12,0.00,0.16,0.38
inst25x25_50_11,3,3,3,2,0.5,0.9,0.005,120.0,100.00,0.195321,0.133917,12.40,0,100,0.007582,0.132559,0.140141,N/A,0.055180,0.000266,0.000011,0.000299,0.000000,71.75,N/A,28.25,0.14,0.01,0.15,0.00
inst25x25_50_14,3,3,3,2,0.5,0.9,0.005,120.0,100.00,0.520525,0.508092,36.08,6,94,0.007672,0.379539,0.387211,N/A,0.132855,0.000789,0.000016,0.000998,0.000460,74.39,N/A,25.52,0.15,0.00,0.19,0.09
inst25x25_50_16,3,3,3,2,0.5,0.9,0.005,120.0,100.00,0.269458,0.184700,15.08,0,100,0.007343,0.188093,0.195436,N/A,0.074022,0.000329,0.000017,0.000371,0.000000,72.53,N/A,27.47,0.12,0.01,0.14,0.00
inst25x25_50_17,3,3,3,2,0.5,0.9,0.005,120.0,100.00,1.052451,2.516113,65.22,10,90,0.007688,0.733876,0.741564,N/A,0.300080,0.001455,0.000017,0.001866,0.010808,70.46,N/A,28.51,0.14,0.00,0.18,1.03
inst25x25_50_18,3,3,3,2,0.5,0.9,0.005,120.0,99.00,5.049209,13.995796,319.95,44,55,0.007715,2.278000,2.285715,N/A,2.643579,0.007126,0.000058,0.010262,0.119916,45.27,N/A,52.36,0.14,0.00,0.20,2.37
inst25x25_50_9,3,3,3,2,0.5,0.9,0.005,120.0,100.00,1.122918,1.720494,71.95,18,82,0.007896,0.806052,0.813948,N/A,0.296811,0.001584,0.000038,0.001818,0.012159,72.49,N/A,26.43,0.14,0.00,0.16,1.08
