puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_45_52,3,3,3,2,0.5,0.9,0.005,120.0,99.00,8.735472,10.332195,346.08,84,15,0.005797,5.195323,5.201120,N/A,3.424374,0.006930,0.000006,0.010587,0.109979,59.54,N/A,39.20,0.08,0.00,0.12,1.26
inst25x25_45_54,3,3,3,2,0.5,0.9,0.005,120.0,100.00,14.593566,13.094365,563.94,95,5,0.006022,8.311592,8.317613,N/A,6.083271,0.011930,0.000023,0.018000,0.192682,57.00,N/A,41.68,0.08,0.00,0.12,1.32
inst25x25_45_56,3,3,3,2,0.5,0.9,0.005,120.0,100.00,15.557001,14.928330,617.48,88,12,0.005885,8.130406,8.136291,N/A,7.217994,0.013055,0.000023,0.019931,0.202716,52.30,N/A,46.40,0.08,0.00,0.13,1.30
inst25x25_45_57,3,3,3,2,0.5,0.9,0.005,120.0,85.00,27.450821,23.010884,1061.16,84,1,0.006129,11.698700,11.704829,N/A,15.376563,0.022433,0.000046,0.034348,0.369429,42.64,N/A,56.01,0.08,0.00,0.13,1.35
inst25x25_45_58,3,3,3,2,0.5,0.9,0.005,120.0,99.00,18.626720,17.668098,776.14,93,6,0.006266,8.994702,9.000968,N/A,9.337414,0.016380,0.000038,0.024408,0.288337,48.32,N/A,50.13,0.09,0.00,0.13,1.55
inst25x25_45_59,3,3,3,2,0.5,0.9,0.005,120.0,100.00,11.307310,9.966508,424.04,95,5,0.006041,6.967975,6.974017,N/A,4.200139,0.008958,0.000018,0.013687,0.133154,61.68,N/A,37.15,0.08,0.00,0.12,1.18
inst25x25_45_62,3,3,3,2,0.5,0.9,0.005,120.0,100.00,10.234333,7.786506,425.12,93,7,0.006381,6.519102,6.525483,N/A,3.588718,0.009042,0.000019,0.013516,0.120132,63.76,N/A,35.07,0.09,0.00,0.13,1.17
inst25x25_45_63,3,3,3,2,0.5,0.9,0.005,120.0,48.00,42.452415,35.284072,1688.08,46,2,0.006126,12.362473,12.368599,N/A,29.464191,0.035653,0.000038,0.054710,0.619625,29.14,N/A,69.41,0.08,0.00,0.13,1.46
inst25x25_45_64,3,3,3,2,0.5,0.9,0.005,120.0,96.00,20.501112,24.700622,771.03,88,8,0.006204,8.664221,8.670425,N/A,11.533732,0.016438,0.000023,0.025373,0.296955,42.29,N/A,56.26,0.08,0.00,0.12,1.45
inst25x25_45_65,3,3,3,2,0.5,0.9,0.005,120.0,100.00,9.396876,6.936564,342.15,85,15,0.006226,6.190029,6.196255,N/A,3.098597,0.007319,0.000016,0.010808,0.102024,65.94,N/A,32.97,0.08,0.00,0.12,1.09
