puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_50_71,3,3,3,2,0.3,0.9,0.005,120.0,100.00,0.789051,0.643305,55.53,13,87,0.006362,0.588202,0.594563,N/A,0.191381,0.001037,0.000008,0.001365,0.003106,75.35,N/A,24.25,0.13,0.00,0.17,0.39
inst25x25_50_80,3,3,3,2,0.3,0.9,0.005,120.0,100.00,0.318930,0.257826,23.94,1,99,0.006593,0.226967,0.233560,N/A,0.084879,0.000450,0.000009,0.000533,0.000491,73.23,N/A,26.61,0.14,0.00,0.17,0.15
inst25x25_50_82,3,3,3,2,0.3,0.9,0.005,120.0,100.00,0.862727,0.736654,61.84,18,82,0.006690,0.640452,0.647142,N/A,0.211841,0.001179,0.000011,0.001468,0.003744,75.01,N/A,24.55,0.14,0.00,0.17,0.43
inst25x25_50_83,3,3,3,2,0.3,0.9,0.005,120.0,100.00,1.106951,0.901514,68.22,20,80,0.006607,0.829233,0.835841,N/A,0.265106,0.001356,0.000017,0.001762,0.006005,75.51,N/A,23.95,0.12,0.00,0.16,0.54
inst25x25_50_86,3,3,3,2,0.3,0.9,0.005,120.0,100.00,0.841542,0.558000,62.06,15,85,0.006975,0.619916,0.626891,N/A,0.211369,0.001272,0.000009,0.001736,0.003283,74.49,N/A,25.12,0.15,0.00,0.21,0.39
inst25x25_50_91,3,3,3,2,0.3,0.9,0.005,120.0,100.00,1.862451,4.682606,109.66,19,81,0.006730,1.187524,1.194254,N/A,0.641528,0.002311,0.000017,0.002961,0.026670,64.12,N/A,34.45,0.12,0.00,0.16,1.43
inst25x25_50_92,3,3,3,2,0.3,0.9,0.005,120.0,100.00,0.151450,0.089006,12.02,0,100,0.007139,0.100615,0.107754,N/A,0.043696,0.000238,0.000006,0.000272,0.000000,71.15,N/A,28.85,0.16,0.00,0.18,0.00
inst25x25_50_93,3,3,3,2,0.3,0.9,0.005,120.0,100.00,1.135986,1.294021,75.10,24,76,0.006985,0.835547,0.842532,N/A,0.283923,0.001571,0.000013,0.001952,0.009531,74.17,N/A,24.99,0.14,0.00,0.17,0.84
inst25x25_50_94,3,3,3,2,0.3,0.9,0.005,120.0,100.00,2.002409,2.678444,107.23,27,73,0.006626,1.437410,1.444036,N/A,0.540873,0.002214,0.000022,0.002696,0.017500,72.11,N/A,27.01,0.11,0.00,0.13,0.87
inst25x25_50_99,3,3,3,2,0.3,0.9,0.005,120.0,100.00,0.381837,0.367774,27.82,2,98,0.006920,0.274401,0.281322,N/A,0.099709,0.000569,0.000009,0.000687,0.000806,73.68,N/A,26.11,0.15,0.00,0.18,0.21
