puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_45_67,3,3,3,2,0.5,0.9,0.005,120.0,99.00,18.637044,19.543296,715.48,95,4,0.005998,8.740622,8.746620,N/A,9.628156,0.014872,0.000023,0.022384,0.262268,46.93,N/A,51.66,0.08,0.00,0.12,1.41
inst25x25_45_69,3,3,3,2,0.5,0.9,0.005,120.0,99.00,14.756893,13.504399,614.43,93,6,0.005965,8.123603,8.129568,N/A,6.383879,0.012938,0.000020,0.019571,0.243447,55.09,N/A,43.26,0.09,0.00,0.13,1.65
inst25x25_45_71,3,3,3,2,0.5,0.9,0.005,120.0,99.00,15.194953,16.893229,554.83,90,9,0.005970,7.788367,7.794337,N/A,7.214471,0.011617,0.000020,0.018176,0.186145,51.30,N/A,47.48,0.08,0.00,0.12,1.23
inst25x25_45_72,3,3,3,2,0.5,0.9,0.005,120.0,80.00,27.687545,25.849231,1046.76,79,1,0.006116,10.983516,10.989632,N/A,16.327534,0.022171,0.000031,0.034667,0.370379,39.69,N/A,58.97,0.08,0.00,0.13,1.34
inst25x25_45_73,3,3,3,2,0.5,0.9,0.005,120.0,100.00,5.205048,4.104661,204.88,73,27,0.006104,3.658280,3.664384,N/A,1.491471,0.004330,0.000006,0.006408,0.049194,70.40,N/A,28.65,0.08,0.00,0.12,0.95
inst25x25_45_75,3,3,3,2,0.5,0.9,0.005,120.0,100.00,8.024189,5.192371,300.60,91,9,0.006011,5.439092,5.445103,N/A,2.490771,0.006433,0.000016,0.009488,0.088314,67.86,N/A,31.04,0.08,0.00,0.12,1.10
inst25x25_45_76,3,3,3,2,0.5,0.9,0.005,120.0,100.00,8.836505,7.355798,343.48,83,17,0.006161,5.778047,5.784208,N/A,2.948157,0.007268,0.000007,0.011385,0.104139,65.46,N/A,33.36,0.08,0.00,0.13,1.18
inst25x25_45_77,3,3,3,2,0.5,0.9,0.005,120.0,40.00,32.383619,27.570105,1242.17,39,1,0.006007,12.035877,12.041884,N/A,19.974476,0.026232,0.000043,0.041102,0.367260,37.19,N/A,61.68,0.08,0.00,0.13,1.13
inst25x25_45_82,3,3,3,2,0.5,0.9,0.005,120.0,87.00,28.816508,28.610421,1165.72,84,3,0.006241,10.627565,10.633805,N/A,17.758899,0.024905,0.000032,0.036568,0.423804,36.90,N/A,61.63,0.09,0.00,0.13,1.47
inst25x25_45_83,3,3,3,2,0.5,0.9,0.005,120.0,100.00,5.517335,4.499885,208.64,71,29,0.006073,3.847246,3.853319,N/A,1.606517,0.004476,0.000019,0.007099,0.057499,69.84,N/A,29.12,0.08,0.00,0.13,1.04
