puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_45_99,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.206629,1.433843,108.15,79,21,0.004518,1.644011,1.648529,N/A,0.548007,0.022068,0.000924,0.000843,0.010094,74.71,N/A,24.83,1.00,0.04,0.04,0.46
inst25x25_50_1,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.314542,0.738161,22.70,2,98,0.004945,0.214713,0.219659,N/A,0.094473,0.004148,0.000990,0.000124,0.000410,69.83,N/A,30.04,1.32,0.31,0.04,0.13
inst25x25_50_11,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.116212,0.088330,9.34,1,99,0.005342,0.073829,0.079171,N/A,0.036756,0.001550,0.000662,0.000051,0.000285,68.13,N/A,31.63,1.33,0.57,0.04,0.25
inst25x25_50_14,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.274855,0.277670,23.92,12,88,0.005361,0.189651,0.195012,N/A,0.078814,0.004633,0.000689,0.000140,0.001029,70.95,N/A,28.67,1.69,0.25,0.05,0.37
inst25x25_50_16,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.170827,0.080700,12.21,0,100,0.005021,0.114552,0.119573,N/A,0.051254,0.002022,0.000867,0.000065,0.000000,70.00,N/A,30.00,1.18,0.51,0.04,0.00
inst25x25_50_17,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.478878,0.542913,38.20,21,79,0.005336,0.341421,0.346757,N/A,0.129519,0.007534,0.000844,0.000231,0.002602,72.41,N/A,27.05,1.57,0.18,0.05,0.54
inst25x25_50_18,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.757963,9.878192,381.40,58,42,0.005298,2.311916,2.317214,N/A,2.319738,0.080089,0.000807,0.002916,0.121010,48.70,N/A,48.75,1.68,0.02,0.06,2.54
inst25x25_50_21,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.120104,0.070987,10.10,0,100,0.005300,0.076715,0.082016,N/A,0.038087,0.001754,0.000619,0.000056,0.000000,68.29,N/A,31.71,1.46,0.52,0.05,0.00
inst25x25_50_26,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.577690,9.732138,135.86,30,70,0.005347,0.589002,0.594349,N/A,0.975310,0.028399,0.000824,0.001367,0.008031,37.67,N/A,61.82,1.80,0.05,0.09,0.51
inst25x25_50_29,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.619659,0.539687,39.42,22,78,0.004867,0.451351,0.456218,N/A,0.162094,0.007729,0.000989,0.000247,0.001346,73.62,N/A,26.16,1.25,0.16,0.04,0.22
