"Alg 0 = CP-ACS, Alg 3 = CP-DCM-ACO, Alg 4 = MT-CP-DCM-ACO",,,,,,,,,,,,
,,,,,,,,,,,,
Best ,,,,,,,,,,,,
,,,,,,,,,,,,
Instances,Solution Rate,,,Average Time,,,Standard Deviation,,,Average Iteration,,
inst25x25_45_72,59,99,100,15.766793,8.566353,6.445348,21.789644,12.563938,5.286533,545.64,278.17,288.34
inst25x25_45_73,93,92,100,6.260051,22.014086,1.245574,13.043038,23.483452,0.988947,194.28,974.1,58.62
inst25x25_45_75,86,100,100,8.992961,3.178741,2.490743,16.8564,3.069793,2.127275,279.19,143.37,111.41
inst25x25_45_76,94,98,100,5.923623,9.093795,1.729155,10.634716,15.878459,1.325472,201.67,390.55,80.71
inst25x25_45_77,47,100,100,29.429897,3.732541,3.179262,31.314277,5.560882,4.026173,929.81,182.14,190.9
inst25x25_45_8,77,91,100,4.593287,30.259221,1.943204,7.363625,29.314923,1.474242,146.23,1319.04,89.23
inst25x25_45_82,60,91,100,17.974873,17.226423,6.523172,25.035659,19.516552,6.059509,635.92,795.4,312.54
inst25x25_45_83,92,100,100,8.749743,4.051807,1.488159,15.864901,11.302942,1.036651,332.43,182.23,67.71
inst25x25_45_84,81,97,100,10.39751,9.702746,2.387632,18.966207,15.011309,2.361848,400.23,441.37,112.74
inst25x25_45_85,79,95,100,15.894873,12.477133,5.071665,22.553083,12.914853,4.554239,597.04,554.45,233.87
inst25x25_45_86,87,99,100,15.580574,9.288252,4.88965,24.556423,10.944001,3.717178,542.47,402.72,212.45
inst25x25_45_87,84,99,100,12.93172,7.995939,1.917022,20.94326,10.959511,1.364802,378.81,360.48,87.33
inst25x25_45_88,87,99,100,6.041493,4.318275,1.668106,11.577602,4.708561,1.427465,201.21,207.38,79.96
inst25x25_45_89,77,99,100,14.521199,12.477116,5.604781,22.426992,15.742085,4.911862,467.01,579.47,247.71
inst25x25_45_90,84,100,100,11.860392,7.936905,3.364253,18.97496,6.704111,2.405408,380.69,387.28,150.75
inst25x25_45_92,91,100,100,5.716788,3.672716,1.24399,10.411823,5.326781,0.823459,194.66,193.01,60.29
inst25x25_45_93,67,96,100,17.339176,19.024279,6.031734,22.471715,23.664255,4.281675,541.46,880.92,277.41
inst25x25_45_95,52,82,99,15.069526,23.162521,10.537864,21.068729,29.658675,14.702876,590.67,992.04,487.34
inst25x25_45_96,92,100,100,7.746293,4.316665,1.667547,14.498841,4.173658,1.437944,280.36,168.33,73.6
inst25x25_45_97,16,28,72,18.117573,35.095193,29.498278,15.557635,28.904103,30.333315,678.25,1468.18,1443.42
inst25x25_45_99,89,98,100,9.807604,10.894835,2.477224,18.449488,11.571622,2.298555,321.48,245.47,116.53
inst25x25_50_1,94,100,100,6.021473,3.142671,0.343571,13.712348,9.856298,0.634832,283.86,120.23,23.98
inst25x25_50_11,81,100,100,5.031712,0.831289,0.16773,15.460728,1.818762,0.218213,286.51,65.19,13.35
inst25x25_50_14,77,100,100,8.596135,1.946884,0.32012,18.450372,2.861685,0.347273,461.91,161.14,27.29
inst25x25_50_16,93,100,100,4.06874,0.527729,0.202311,14.643506,1.103011,0.146057,223.87,35.15,14.08
inst25x25_50_17,63,98,100,2.598649,6.109987,0.472741,7.108464,13.325388,0.586118,171.27,456.85,36.72
inst25x25_50_18,29,90,100,11.678478,17.991421,6.475376,27.031704,26.410463,13.0961,678.72,1355.07,505.88
inst25x25_50_21,90,100,100,1.37215,1.170859,0.133404,4.690153,7.652958,0.090311,64.69,93.4,11
inst25x25_50_26,52,89,99,10.417624,10.456529,1.774524,24.07106,21.73053,8.393702,701.71,823.73,148.43
inst25x25_50_29,88,100,100,4.837213,4.073969,0.55877,9.778457,9.863302,0.595295,256.93,239.76,34.71
inst25x25_50_34,82,99,100,14.805918,9.205996,1.938628,23.516273,14.852266,1.866695,654.15,530.16,118.22
inst25x25_50_44,90,100,100,4.061951,1.284158,0.153896,9.666663,3.413878,0.090192,227.47,89.86,11.15
inst25x25_50_50,78,93,100,12.406716,5.148208,1.556127,22.716678,8.547661,2.400516,577.85,303.41,95.24
inst25x25_50_51,41,81,99,17.74087,15.20833,4.04861,30.912541,24.981542,5.240038,921.05,1002.58,273.17
inst25x25_50_57,58,92,100,14.043323,15.506463,3.945239,23.362201,24.725509,12.539399,689.45,1115.61,255.84
inst25x25_50_64,74,100,100,14.312985,1.077867,0.183578,24.102336,1.957765,0.265373,976.65,108.47,16.53
inst25x25_50_69,59,96,100,7.596404,10.286118,1.906162,18.079874,18.614082,2.820128,454.29,878.3,147.03
