puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_50_21,3,3,3,2,0.5,0.9,0.005,120.0,100.00,0.160530,0.105878,11.22,0,100,0.007104,0.107275,0.114380,N/A,0.046151,0.000228,0.000009,0.000250,0.000000,71.25,N/A,28.75,0.14,0.01,0.16,0.00
inst25x25_50_26,3,3,3,2,0.5,0.9,0.005,120.0,100.00,1.759225,5.536767,122.20,23,77,0.007602,1.025795,1.033397,N/A,0.686226,0.002688,0.000043,0.003672,0.039603,58.74,N/A,39.01,0.15,0.00,0.21,2.25
inst25x25_50_29,3,3,3,2,0.5,0.9,0.005,120.0,100.00,1.187646,1.439684,58.02,11,89,0.007287,0.870417,0.877704,N/A,0.293754,0.001342,0.000016,0.001949,0.016189,73.90,N/A,24.73,0.11,0.00,0.16,1.36
inst25x25_50_34,3,3,3,2,0.5,0.9,0.005,120.0,100.00,4.184442,4.003630,203.79,64,36,0.007139,2.941562,2.948701,N/A,1.177667,0.004599,0.000026,0.006274,0.058075,70.47,N/A,28.14,0.11,0.00,0.15,1.39
inst25x25_50_44,3,3,3,2,0.5,0.9,0.005,120.0,100.00,0.263924,0.177416,15.59,0,100,0.007408,0.184885,0.192293,N/A,0.071631,0.000337,0.000008,0.000412,0.000000,72.86,N/A,27.14,0.13,0.00,0.16,0.00
inst25x25_50_50,3,3,3,2,0.5,0.9,0.005,120.0,100.00,2.511871,1.940614,125.02,49,51,0.007067,1.859063,1.866130,N/A,0.617956,0.002769,0.000015,0.003994,0.027785,74.29,N/A,24.60,0.11,0.00,0.16,1.11
inst25x25_50_51,3,3,3,2,0.5,0.9,0.005,120.0,100.00,4.927063,6.985445,286.08,71,29,0.006729,3.135921,3.142650,N/A,1.705482,0.005893,0.000039,0.007554,0.078930,63.78,N/A,34.61,0.12,0.00,0.15,1.60
inst25x25_50_57,3,3,3,2,0.5,0.9,0.005,120.0,100.00,3.027600,2.529770,176.55,66,34,0.006164,2.189529,2.195693,N/A,0.796273,0.003524,0.000020,0.004903,0.035634,72.52,N/A,26.30,0.12,0.00,0.16,1.18
inst25x25_50_64,3,3,3,2,0.5,0.9,0.005,120.0,100.00,0.246011,0.441835,18.16,2,98,0.007628,0.169650,0.177278,N/A,0.067966,0.000388,0.000016,0.000491,0.000767,72.06,N/A,27.63,0.16,0.01,0.20,0.31
inst25x25_50_69,3,3,3,2,0.5,0.9,0.005,120.0,100.00,1.989000,3.222375,123.38,42,58,0.007693,1.397177,1.404870,N/A,0.553335,0.002796,0.000040,0.004002,0.030795,70.63,N/A,27.82,0.14,0.00,0.20,1.55
