puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_50_11,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.160569,0.105757,7.31,0,100,0.005326,0.102289,0.107616,N/A,0.052953,0.001701,0.000843,0.000052,0.000000,67.02,N/A,32.98,1.06,0.52,0.03,0.00
inst25x25_50_14,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.270035,0.344347,13.19,1,99,0.005380,0.184633,0.190012,N/A,0.080022,0.003648,0.000795,0.000097,0.000001,70.37,N/A,29.63,1.35,0.29,0.04,0.00
inst25x25_50_16,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.203506,0.117702,8.12,0,100,0.005032,0.134778,0.139810,N/A,0.063696,0.001865,0.001008,0.000058,0.000000,68.70,N/A,31.30,0.92,0.50,0.03,0.00
inst25x25_50_17,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.425793,0.354672,18.86,5,95,0.005382,0.299363,0.304744,N/A,0.119957,0.005271,0.001108,0.000148,0.001092,71.57,N/A,28.17,1.24,0.26,0.03,0.26
inst25x25_50_18,4,3,4,3,0.9,0.9,0.005,120.0,99.00,7.712694,20.464944,302.71,45,54,0.005318,2.543677,2.548995,N/A,4.617532,0.108727,0.000987,0.003746,0.546167,33.05,N/A,59.87,1.41,0.01,0.05,7.08
inst25x25_50_21,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.129054,0.054176,6.15,0,100,0.005282,0.078902,0.084184,N/A,0.044870,0.001402,0.000708,0.000043,0.000000,65.23,N/A,34.77,1.09,0.55,0.03,0.00
inst25x25_50_26,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.604457,9.260930,69.62,16,84,0.005452,0.628770,0.634222,N/A,0.905338,0.024118,0.001013,0.000564,0.064897,39.53,N/A,56.43,1.50,0.06,0.04,4.04
inst25x25_50_29,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.480451,0.355853,17.08,3,97,0.004961,0.343868,0.348830,N/A,0.131322,0.004620,0.001198,0.000141,0.000300,72.60,N/A,27.33,0.96,0.25,0.03,0.06
inst25x25_50_34,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.305868,1.186220,45.42,30,70,0.004987,0.960283,0.965270,N/A,0.336416,0.013721,0.001349,0.000418,0.004182,73.92,N/A,25.76,1.05,0.10,0.03,0.32
inst25x25_50_44,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.192041,0.081759,8.01,0,100,0.005137,0.125522,0.130659,N/A,0.061382,0.001799,0.001033,0.000058,0.000000,68.04,N/A,31.96,0.94,0.54,0.03,0.00
inst25x25_50_50,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.253583,1.654707,43.45,24,76,0.004949,0.897954,0.902902,N/A,0.339309,0.013171,0.001322,0.000379,0.011371,72.03,N/A,27.07,1.05,0.11,0.03,0.91
