puzzle_size,nAnts_alg0,nAnts_alg2,nAnts_alg3,nAnts_alg4,threads_alg0,threads_alg2,threads_alg3,threads_alg4,numcolonies_alg0,numcolonies_alg2,numcolonies_alg3,numcolonies_alg4,numacs_alg0,numacs_alg2,numacs_alg3,numacs_alg4,q0_alg0,q0_alg2,q0_alg3,q0_alg4,rho_alg0,rho_alg2,rho_alg3,rho_alg4,bve_alg0,bve_alg2,bve_alg3,bve_alg4,timeout_alg0,timeout_alg2,timeout_alg3,timeout_alg4,success_rate_alg0,success_rate_alg2,success_rate_alg3,success_rate_alg4,time_mean_alg0,time_mean_alg2,time_mean_alg3,time_mean_alg4,time_std_alg0,time_std_alg2,time_std_alg3,time_std_alg4,iter_mean_alg0,iter_mean_alg2,iter_mean_alg3,iter_mean_alg4,with_comm_alg0,with_comm_alg2,with_comm_alg3,with_comm_alg4,without_comm_alg0,without_comm_alg2,without_comm_alg3,without_comm_alg4,cp_initial_mean_alg0,cp_initial_mean_alg2,cp_initial_mean_alg3,cp_initial_mean_alg4,cp_ant_mean_alg0,cp_ant_mean_alg2,cp_ant_mean_alg3,cp_ant_mean_alg4,cp_total_mean_alg0,cp_total_mean_alg2,cp_total_mean_alg3,cp_total_mean_alg4,acs_time_mean_alg0,acs_time_mean_alg2,acs_time_mean_alg3,acs_time_mean_alg4,dcm_aco_time_mean_alg0,dcm_aco_time_mean_alg2,dcm_aco_time_mean_alg3,dcm_aco_time_mean_alg4,coop_game_mean_alg0,coop_game_mean_alg2,coop_game_mean_alg3,coop_game_mean_alg4,pheromone_fusion_mean_alg0,pheromone_fusion_mean_alg2,pheromone_fusion_mean_alg3,pheromone_fusion_mean_alg4,public_path_mean_alg0,public_path_mean_alg2,public_path_mean_alg3,public_path_mean_alg4,communication_time_mean_alg0,communication_time_mean_alg2,communication_time_mean_alg3,communication_time_mean_alg4,cp_percentage_alg0,cp_percentage_alg2,cp_percentage_alg3,cp_percentage_alg4,acs_time_percentage_alg0,acs_time_percentage_alg2,acs_time_percentage_alg3,acs_time_percentage_alg4,dcm_aco_time_percentage_alg0,dcm_aco_time_percentage_alg2,dcm_aco_time_percentage_alg3,dcm_aco_time_percentage_alg4,coop_game_percentage_alg0,coop_game_percentage_alg2,coop_game_percentage_alg3,coop_game_percentage_alg4,pheromone_fusion_percentage_alg0,pheromone_fusion_percentage_alg2,pheromone_fusion_percentage_alg3,pheromone_fusion_percentage_alg4,public_path_percentage_alg0,public_path_percentage_alg2,public_path_percentage_alg3,public_path_percentage_alg4,communication_time_percentage_alg0,communication_time_percentage_alg2,communication_time_percentage_alg3,communication_time_percentage_alg4
2020_00504,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.142397,0.049405,0.127614,0.029125,0.177975,0.048103,0.125238,0.030935,149.89,47.20,149.81,29.38,N/A,8,N/A,3,N/A,92,N/A,97,0.000099,0.000104,0.000098,0.000104,0.086009,0.028304,0.075099,0.016090,0.086108,0.028408,0.075197,0.016195,0.056288,0.020795,N/A,N/A,N/A,N/A,0.052417,0.012885,N/A,N/A,0.001579,0.000335,N/A,N/A,0.000038,0.000034,N/A,N/A,0.000339,0.000063,N/A,0.000000,N/A,0.000000,60.47,57.50,58.93,55.60,39.53,42.09,N/A,N/A,N/A,N/A,41.07,44.24,N/A,N/A,1.24,1.15,N/A,N/A,0.03,0.12,N/A,N/A,0.27,0.22,N/A,0.00,N/A,0.00
2020_00524,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.089810,0.039900,0.083134,0.033532,0.078087,0.033874,0.071635,0.027451,96.20,39.02,97.89,33.54,N/A,5,N/A,3,N/A,95,N/A,97,0.000098,0.000099,0.000097,0.000109,0.055116,0.023088,0.049676,0.018795,0.055215,0.023188,0.049773,0.018904,0.034595,0.016562,N/A,N/A,N/A,N/A,0.033362,0.014529,N/A,N/A,0.001046,0.000399,N/A,N/A,0.000038,0.000034,N/A,N/A,0.000228,0.000074,N/A,0.000000,N/A,0.000000,61.48,58.11,59.87,56.38,38.52,41.51,N/A,N/A,N/A,N/A,40.13,43.33,N/A,N/A,1.26,1.19,N/A,N/A,0.05,0.10,N/A,N/A,0.27,0.22,N/A,0.00,N/A,0.00
2020_00570,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.107445,0.052767,0.089974,0.039191,0.106158,0.045355,0.081111,0.036893,107.75,47.84,97.70,39.26,N/A,11,N/A,6,N/A,89,N/A,94,0.000086,0.000091,0.000088,0.000090,0.065872,0.030790,0.054017,0.022103,0.065958,0.030881,0.054105,0.022193,0.041487,0.021721,N/A,N/A,N/A,N/A,0.035869,0.016749,N/A,N/A,0.001051,0.000429,N/A,N/A,0.000039,0.000040,N/A,N/A,0.000227,0.000078,N/A,0.000000,N/A,0.000000,61.39,58.52,60.13,56.63,38.61,41.16,N/A,N/A,N/A,N/A,39.87,42.74,N/A,N/A,1.17,1.09,N/A,N/A,0.04,0.10,N/A,N/A,0.25,0.20,N/A,0.00,N/A,0.00
2020_00574,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.098241,0.047186,0.114044,0.037471,0.081658,0.040800,0.092411,0.037421,101.09,40.78,125.37,37.68,N/A,9,N/A,6,N/A,91,N/A,94,0.000083,0.000094,0.000084,0.000087,0.060049,0.027368,0.068093,0.021114,0.060131,0.027463,0.068178,0.021201,0.038110,0.019597,N/A,N/A,N/A,N/A,0.045867,0.016168,N/A,N/A,0.001361,0.000412,N/A,N/A,0.000042,0.000039,N/A,N/A,0.000293,0.000074,N/A,0.000000,N/A,0.000000,61.21,58.20,59.78,56.58,38.79,41.53,N/A,N/A,N/A,N/A,40.22,43.15,N/A,N/A,1.19,1.10,N/A,N/A,0.04,0.10,N/A,N/A,0.26,0.20,N/A,0.00,N/A,0.00
2020_00599,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.145725,0.066353,0.107792,0.044018,0.159142,0.057113,0.119264,0.042080,164.68,66.89,133.03,48.07,N/A,24,N/A,15,N/A,76,N/A,85,0.000096,0.000099,0.000096,0.000102,0.088227,0.038230,0.063461,0.024638,0.088323,0.038329,0.063557,0.024740,0.057402,0.027476,N/A,N/A,N/A,N/A,0.044235,0.019135,N/A,N/A,0.001405,0.000546,N/A,N/A,0.000040,0.000033,N/A,N/A,0.000301,0.000103,N/A,0.000000,N/A,0.000000,60.61,57.77,58.96,56.20,39.39,41.41,N/A,N/A,N/A,N/A,41.04,43.47,N/A,N/A,1.30,1.24,N/A,N/A,0.04,0.07,N/A,N/A,0.28,0.23,N/A,0.00,N/A,0.00
2020_00616,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.082064,0.034395,0.073884,0.038213,0.068711,0.032297,0.067464,0.034795,95.27,36.10,87.56,34.97,N/A,4,N/A,3,N/A,96,N/A,97,0.000098,0.000102,0.000100,0.000125,0.050198,0.019748,0.044017,0.021410,0.050297,0.019849,0.044117,0.021535,0.031767,0.014440,N/A,N/A,N/A,N/A,0.029767,0.016602,N/A,N/A,0.000998,0.000503,N/A,N/A,0.000044,0.000047,N/A,N/A,0.000212,0.000088,N/A,0.000000,N/A,0.000000,61.29,57.71,59.71,56.35,38.71,41.98,N/A,N/A,N/A,N/A,40.29,43.45,N/A,N/A,1.35,1.32,N/A,N/A,0.06,0.12,N/A,N/A,0.29,0.23,N/A,0.00,N/A,0.00
2020_00619,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.108807,0.040488,0.106915,0.038599,0.097356,0.035404,0.117341,0.035349,100.20,33.46,108.08,33.68,N/A,2,N/A,2,N/A,98,N/A,98,0.000115,0.000122,0.000111,0.000122,0.066917,0.023489,0.063848,0.021635,0.067032,0.023611,0.063959,0.021756,0.041774,0.016793,N/A,N/A,N/A,N/A,0.042956,0.016714,N/A,N/A,0.001443,0.000497,N/A,N/A,0.000049,0.000050,N/A,N/A,0.000311,0.000091,N/A,0.000000,N/A,0.000000,61.61,58.32,59.82,56.37,38.39,41.48,N/A,N/A,N/A,N/A,40.18,43.30,N/A,N/A,1.35,1.29,N/A,N/A,0.05,0.13,N/A,N/A,0.29,0.24,N/A,0.00,N/A,0.00
2020_00625,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.102215,0.048048,0.082323,0.038967,0.086803,0.033428,0.063900,0.029106,96.84,43.15,89.24,37.84,N/A,4,N/A,3,N/A,96,N/A,97,0.000121,0.000114,0.000109,0.000112,0.063184,0.028173,0.049346,0.022067,0.063305,0.028287,0.049455,0.022179,0.038909,0.019730,N/A,N/A,N/A,N/A,0.032868,0.016728,N/A,N/A,0.001093,0.000494,N/A,N/A,0.000044,0.000038,N/A,N/A,0.000237,0.000093,N/A,0.000000,N/A,0.000000,61.93,58.87,60.07,56.92,38.07,41.06,N/A,N/A,N/A,N/A,39.93,42.93,N/A,N/A,1.33,1.27,N/A,N/A,0.05,0.10,N/A,N/A,0.29,0.24,N/A,0.00,N/A,0.00
2020_00665,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.134712,0.062838,0.183039,0.092606,0.135366,0.060249,0.174667,0.083330,131.32,52.67,191.13,76.44,N/A,8,N/A,26,N/A,92,N/A,74,0.000106,0.000116,0.000106,0.000122,0.082613,0.036486,0.109412,0.052160,0.082719,0.036602,0.109518,0.052283,0.051993,0.025635,N/A,N/A,N/A,N/A,0.073522,0.038695,N/A,N/A,0.002396,0.001269,N/A,N/A,0.000043,0.000046,N/A,N/A,0.000533,0.000246,N/A,0.000000,N/A,0.000000,61.40,58.25,59.83,56.46,38.60,40.79,N/A,N/A,N/A,N/A,40.17,41.78,N/A,N/A,1.31,1.37,N/A,N/A,0.02,0.05,N/A,N/A,0.29,0.27,N/A,0.00,N/A,0.00
2020_00684,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.124259,0.065527,0.127119,0.047441,0.111012,0.061865,0.114062,0.046366,120.32,47.86,133.47,44.63,N/A,11,N/A,8,N/A,89,N/A,92,0.000108,0.000125,0.000107,0.000112,0.076477,0.036815,0.076006,0.026933,0.076585,0.036939,0.076113,0.027045,0.047675,0.028099,N/A,N/A,N/A,N/A,0.051006,0.020122,N/A,N/A,0.001691,0.000596,N/A,N/A,0.000043,0.000043,N/A,N/A,0.000357,0.000108,N/A,0.000000,N/A,0.000000,61.63,56.37,59.88,57.01,38.37,42.88,N/A,N/A,N/A,N/A,40.12,42.42,N/A,N/A,1.33,1.26,N/A,N/A,0.03,0.09,N/A,N/A,0.28,0.23,N/A,0.00,N/A,0.00
