puzzle_size,nAnts_alg0,nAnts_alg2,nAnts_alg3,nAnts_alg4,threads_alg0,threads_alg2,threads_alg3,threads_alg4,numcolonies_alg0,numcolonies_alg2,numcolonies_alg3,numcolonies_alg4,numacs_alg0,numacs_alg2,numacs_alg3,numacs_alg4,q0_alg0,q0_alg2,q0_alg3,q0_alg4,rho_alg0,rho_alg2,rho_alg3,rho_alg4,bve_alg0,bve_alg2,bve_alg3,bve_alg4,timeout_alg0,timeout_alg2,timeout_alg3,timeout_alg4,success_rate_alg0,success_rate_alg2,success_rate_alg3,success_rate_alg4,time_mean_alg0,time_mean_alg2,time_mean_alg3,time_mean_alg4,time_std_alg0,time_std_alg2,time_std_alg3,time_std_alg4,iter_mean_alg0,iter_mean_alg2,iter_mean_alg3,iter_mean_alg4,with_comm_alg0,with_comm_alg2,with_comm_alg3,with_comm_alg4,without_comm_alg0,without_comm_alg2,without_comm_alg3,without_comm_alg4,cp_initial_mean_alg0,cp_initial_mean_alg2,cp_initial_mean_alg3,cp_initial_mean_alg4,cp_ant_mean_alg0,cp_ant_mean_alg2,cp_ant_mean_alg3,cp_ant_mean_alg4,cp_total_mean_alg0,cp_total_mean_alg2,cp_total_mean_alg3,cp_total_mean_alg4,acs_time_mean_alg0,acs_time_mean_alg2,acs_time_mean_alg3,acs_time_mean_alg4,dcm_aco_time_mean_alg0,dcm_aco_time_mean_alg2,dcm_aco_time_mean_alg3,dcm_aco_time_mean_alg4,coop_game_mean_alg0,coop_game_mean_alg2,coop_game_mean_alg3,coop_game_mean_alg4,pheromone_fusion_mean_alg0,pheromone_fusion_mean_alg2,pheromone_fusion_mean_alg3,pheromone_fusion_mean_alg4,public_path_mean_alg0,public_path_mean_alg2,public_path_mean_alg3,public_path_mean_alg4,communication_time_mean_alg0,communication_time_mean_alg2,communication_time_mean_alg3,communication_time_mean_alg4,cp_percentage_alg0,cp_percentage_alg2,cp_percentage_alg3,cp_percentage_alg4,acs_time_percentage_alg0,acs_time_percentage_alg2,acs_time_percentage_alg3,acs_time_percentage_alg4,dcm_aco_time_percentage_alg0,dcm_aco_time_percentage_alg2,dcm_aco_time_percentage_alg3,dcm_aco_time_percentage_alg4,coop_game_percentage_alg0,coop_game_percentage_alg2,coop_game_percentage_alg3,coop_game_percentage_alg4,pheromone_fusion_percentage_alg0,pheromone_fusion_percentage_alg2,pheromone_fusion_percentage_alg3,pheromone_fusion_percentage_alg4,public_path_percentage_alg0,public_path_percentage_alg2,public_path_percentage_alg3,public_path_percentage_alg4,communication_time_percentage_alg0,communication_time_percentage_alg2,communication_time_percentage_alg3,communication_time_percentage_alg4
2020_00004,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.064294,0.030467,0.037605,0.017628,0.056706,0.027874,0.035006,0.016136,72.15,28.12,42.97,18.18,N/A,2,N/A,0,N/A,98,N/A,100,0.000085,0.000090,0.000089,0.000089,0.039480,0.017468,0.022559,0.009613,0.039565,0.017558,0.022648,0.009703,0.024729,0.012761,N/A,N/A,N/A,N/A,0.014957,0.007925,N/A,N/A,0.000462,0.000191,N/A,N/A,0.000042,0.000030,N/A,N/A,0.000098,0.000031,N/A,0.000000,N/A,0.000000,61.54,57.63,60.23,55.04,38.46,41.88,N/A,N/A,N/A,N/A,39.77,44.96,N/A,N/A,1.23,1.08,N/A,N/A,0.11,0.17,N/A,N/A,0.26,0.18,N/A,0.00,N/A,0.00
2020_00021,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.093787,0.038465,0.056186,0.023388,0.070667,0.034591,0.047343,0.027640,109.32,38.25,68.72,23.35,N/A,8,N/A,3,N/A,92,N/A,97,0.000084,0.000087,0.000088,0.000095,0.057164,0.022085,0.033467,0.012806,0.057249,0.022172,0.033555,0.012901,0.036539,0.016036,N/A,N/A,N/A,N/A,0.022631,0.010452,N/A,N/A,0.000717,0.000277,N/A,N/A,0.000043,0.000039,N/A,N/A,0.000142,0.000045,N/A,0.000000,N/A,0.000000,61.04,57.64,59.72,55.16,38.96,41.69,N/A,N/A,N/A,N/A,40.28,44.69,N/A,N/A,1.28,1.18,N/A,N/A,0.08,0.17,N/A,N/A,0.25,0.19,N/A,0.00,N/A,0.00
2020_00041,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.084851,0.036883,0.058346,0.015634,0.075269,0.037791,0.076383,0.022220,95.62,35.28,71.24,15.58,N/A,5,N/A,2,N/A,95,N/A,98,0.000089,0.000096,0.000089,0.000096,0.052224,0.021329,0.034983,0.008407,0.052313,0.021425,0.035072,0.008503,0.032538,0.015340,N/A,N/A,N/A,N/A,0.023274,0.007020,N/A,N/A,0.000735,0.000172,N/A,N/A,0.000037,0.000034,N/A,N/A,0.000156,0.000029,N/A,0.000000,N/A,0.000000,61.65,58.09,60.11,54.39,38.35,41.59,N/A,N/A,N/A,N/A,39.89,44.90,N/A,N/A,1.26,1.10,N/A,N/A,0.06,0.22,N/A,N/A,0.27,0.19,N/A,0.00,N/A,0.00
2020_00049,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.110425,0.041220,0.093640,0.043773,0.102381,0.046427,0.099124,0.043950,116.45,38.82,111.02,44.34,N/A,7,N/A,8,N/A,93,N/A,92,0.000085,0.000088,0.000085,0.000093,0.068158,0.023945,0.056317,0.025080,0.068243,0.024033,0.056402,0.025173,0.042183,0.016901,N/A,N/A,N/A,N/A,0.037238,0.018513,N/A,N/A,0.001109,0.000497,N/A,N/A,0.000039,0.000039,N/A,N/A,0.000228,0.000091,N/A,0.000000,N/A,0.000000,61.80,58.30,60.23,57.51,38.20,41.00,N/A,N/A,N/A,N/A,39.77,42.29,N/A,N/A,1.18,1.14,N/A,N/A,0.04,0.09,N/A,N/A,0.24,0.21,N/A,0.00,N/A,0.00
2020_00054,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.079545,0.038380,0.064166,0.031797,0.061244,0.028551,0.052951,0.024243,91.54,39.23,79.76,35.05,N/A,4,N/A,2,N/A,96,N/A,98,0.000091,0.000095,0.000091,0.000094,0.048395,0.022119,0.038087,0.017760,0.048486,0.022214,0.038178,0.017854,0.031059,0.016153,N/A,N/A,N/A,N/A,0.025989,0.013895,N/A,N/A,0.000807,0.000372,N/A,N/A,0.000040,0.000036,N/A,N/A,0.000168,0.000069,N/A,0.000000,N/A,0.000000,60.95,57.88,59.50,56.15,39.05,42.09,N/A,N/A,N/A,N/A,40.50,43.70,N/A,N/A,1.26,1.17,N/A,N/A,0.06,0.11,N/A,N/A,0.26,0.22,N/A,0.00,N/A,0.00
2020_00057,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.041301,0.021082,0.036976,0.017632,0.033264,0.016998,0.034259,0.013918,47.24,21.54,44.92,18.50,N/A,1,N/A,0,N/A,99,N/A,100,0.000086,0.000089,0.000087,0.000092,0.025352,0.011862,0.022140,0.009627,0.025437,0.011951,0.022226,0.009719,0.015863,0.009128,N/A,N/A,N/A,N/A,0.014749,0.007913,N/A,N/A,0.000452,0.000195,N/A,N/A,0.000037,0.000033,N/A,N/A,0.000091,0.000033,N/A,0.000000,N/A,0.000000,61.59,56.69,60.11,55.12,38.41,43.30,N/A,N/A,N/A,N/A,39.89,44.88,N/A,N/A,1.22,1.11,N/A,N/A,0.10,0.19,N/A,N/A,0.25,0.19,N/A,0.00,N/A,0.00
2020_00081,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.120166,0.057103,0.133494,0.057086,0.114660,0.048148,0.127239,0.052017,133.39,55.53,162.63,60.46,N/A,16,N/A,18,N/A,84,N/A,82,0.000091,0.000093,0.000089,0.000095,0.073501,0.033140,0.079453,0.032358,0.073592,0.033233,0.079541,0.032453,0.046574,0.023516,N/A,N/A,N/A,N/A,0.053953,0.024195,N/A,N/A,0.001639,0.000669,N/A,N/A,0.000042,0.000030,N/A,N/A,0.000354,0.000128,N/A,0.000000,N/A,0.000000,61.24,58.20,59.58,56.85,38.76,41.18,N/A,N/A,N/A,N/A,40.42,42.38,N/A,N/A,1.23,1.17,N/A,N/A,0.03,0.05,N/A,N/A,0.26,0.22,N/A,0.00,N/A,0.00
2020_00095,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.091448,0.041778,0.082754,0.033140,0.080121,0.038294,0.084545,0.027823,112.56,42.24,88.51,31.69,N/A,9,N/A,2,N/A,91,N/A,98,0.000093,0.000103,0.000117,0.000118,0.055664,0.024010,0.049197,0.018419,0.055758,0.024113,0.049314,0.018537,0.035690,0.017416,N/A,N/A,N/A,N/A,0.033440,0.014571,N/A,N/A,0.001163,0.000433,N/A,N/A,0.000043,0.000038,N/A,N/A,0.000259,0.000076,N/A,0.000000,N/A,0.000000,60.97,57.72,59.59,55.94,39.03,41.69,N/A,N/A,N/A,N/A,40.41,43.97,N/A,N/A,1.41,1.31,N/A,N/A,0.05,0.11,N/A,N/A,0.31,0.23,N/A,0.00,N/A,0.00
2020_00153,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.166927,0.064140,0.102800,0.046995,0.154014,0.058001,0.106674,0.049761,157.40,54.03,115.91,46.69,N/A,15,N/A,11,N/A,85,N/A,89,0.000112,0.000115,0.000099,0.000105,0.102294,0.037183,0.061236,0.026514,0.102406,0.037297,0.061335,0.026618,0.064522,0.026165,N/A,N/A,N/A,N/A,0.041465,0.020089,N/A,N/A,0.001283,0.000563,N/A,N/A,0.000039,0.000033,N/A,N/A,0.000282,0.000111,N/A,0.000000,N/A,0.000000,61.35,58.15,59.66,56.64,38.65,40.79,N/A,N/A,N/A,N/A,40.34,42.75,N/A,N/A,1.25,1.20,N/A,N/A,0.04,0.07,N/A,N/A,0.27,0.24,N/A,0.00,N/A,0.00
2020_00155,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.101022,0.039329,0.092093,0.035840,0.104262,0.033428,0.100290,0.036470,89.33,32.58,90.44,30.23,N/A,2,N/A,3,N/A,98,N/A,97,0.000101,0.000098,0.000099,0.000108,0.062474,0.022896,0.055544,0.020255,0.062575,0.022994,0.055643,0.020363,0.038445,0.016259,N/A,N/A,N/A,N/A,0.036450,0.015214,N/A,N/A,0.001061,0.000386,N/A,N/A,0.000042,0.000041,N/A,N/A,0.000237,0.000071,N/A,0.000000,N/A,0.000000,61.94,58.47,60.42,56.82,38.06,41.34,N/A,N/A,N/A,N/A,39.58,42.45,N/A,N/A,1.15,1.08,N/A,N/A,0.05,0.11,N/A,N/A,0.26,0.20,N/A,0.00,N/A,0.00
