puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
2020_00004,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.016231,0.013224,21.51,0,100,0.000071,0.009085,0.009156,N/A,0.007075,0.000101,0.000015,0.000041,0.000000,56.41,N/A,43.59,0.62,0.09,0.25,0.00
2020_00021,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.018084,0.017053,24.46,2,98,0.000074,0.010108,0.010182,N/A,0.007855,0.000119,0.000014,0.000045,0.000046,56.31,N/A,43.44,0.66,0.08,0.25,0.26
2020_00041,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.014264,0.019643,18.75,3,97,0.000075,0.007952,0.008026,N/A,0.006231,0.000087,0.000007,0.000037,0.000008,56.27,N/A,43.68,0.61,0.05,0.26,0.05
2020_00049,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.039617,0.037122,49.71,12,88,0.000074,0.023003,0.023077,N/A,0.016402,0.000244,0.000010,0.000102,0.000137,58.25,N/A,41.40,0.62,0.03,0.26,0.35
2020_00054,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.025782,0.021687,33.49,4,96,0.000080,0.014618,0.014698,N/A,0.011016,0.000164,0.000011,0.000070,0.000068,57.01,N/A,42.73,0.64,0.04,0.27,0.26
2020_00057,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.012345,0.010592,15.35,0,100,0.000077,0.006733,0.006810,N/A,0.005535,0.000076,0.000011,0.000031,0.000000,55.17,N/A,44.83,0.61,0.09,0.25,0.00
2020_00081,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.053082,0.049232,66.05,24,76,0.000080,0.030786,0.030865,N/A,0.021965,0.000331,0.000014,0.000142,0.000252,58.15,N/A,41.38,0.62,0.03,0.27,0.47
2020_00095,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.025195,0.022497,33.65,3,97,0.000087,0.014251,0.014338,N/A,0.010797,0.000155,0.000012,0.000070,0.000060,56.91,N/A,42.85,0.62,0.05,0.28,0.24
2020_00153,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.033809,0.033887,41.79,8,92,0.000085,0.019365,0.019450,N/A,0.014220,0.000184,0.000013,0.000087,0.000139,57.53,N/A,42.06,0.55,0.04,0.26,0.41
2020_00155,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.026756,0.026498,29.80,4,96,0.000081,0.015381,0.015462,N/A,0.011265,0.000148,0.000012,0.000063,0.000030,57.79,N/A,42.10,0.55,0.05,0.24,0.11
2020_00159,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.030211,0.026060,39.71,6,94,0.000087,0.017174,0.017262,N/A,0.012916,0.000209,0.000013,0.000085,0.000033,57.14,N/A,42.75,0.69,0.04,0.28,0.11
2020_00175,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.022838,0.016640,32.72,0,100,0.000092,0.012729,0.012821,N/A,0.010017,0.000154,0.000017,0.000069,0.000000,56.14,N/A,43.86,0.68,0.07,0.30,0.00
2020_00177,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.031575,0.035223,40.25,8,92,0.000092,0.017882,0.017974,N/A,0.013385,0.000185,0.000013,0.000086,0.000216,56.93,N/A,42.39,0.59,0.04,0.27,0.68
2020_00179,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.019218,0.019875,25.39,3,97,0.000093,0.010660,0.010753,N/A,0.008460,0.000131,0.000014,0.000054,0.000005,55.95,N/A,44.02,0.68,0.07,0.28,0.03
2020_00203,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.020009,0.019969,23.84,1,99,0.000081,0.011365,0.011447,N/A,0.008554,0.000112,0.000009,0.000050,0.000008,57.21,N/A,42.75,0.56,0.04,0.25,0.04
2020_00217,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.039412,0.040260,48.41,13,87,0.000084,0.022851,0.022935,N/A,0.016364,0.000259,0.000012,0.000107,0.000113,58.19,N/A,41.52,0.66,0.03,0.27,0.29
2020_00223,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.031266,0.022250,40.24,5,95,0.000087,0.017903,0.017990,N/A,0.013249,0.000187,0.000014,0.000089,0.000026,57.54,N/A,42.38,0.60,0.05,0.28,0.08
2020_00231,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.028808,0.026380,33.61,4,96,0.000084,0.016486,0.016570,N/A,0.012228,0.000172,0.000011,0.000073,0.000011,57.52,N/A,42.45,0.60,0.04,0.25,0.04
2020_00242,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.075116,0.093382,87.53,29,71,0.000085,0.043517,0.043601,N/A,0.030998,0.000483,0.000015,0.000201,0.000516,58.05,N/A,41.27,0.64,0.02,0.27,0.69
2020_00262,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.081863,0.107223,95.72,29,71,0.000087,0.047905,0.047992,N/A,0.033077,0.000470,0.000013,0.000215,0.000794,58.62,N/A,40.41,0.57,0.02,0.26,0.97
2020_00264,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.056480,0.059666,67.88,18,82,0.000084,0.032698,0.032782,N/A,0.023435,0.000336,0.000016,0.000153,0.000263,58.04,N/A,41.49,0.59,0.03,0.27,0.46
2020_00312,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.057159,0.068138,62.85,24,76,0.000079,0.033343,0.033423,N/A,0.023502,0.000322,0.000011,0.000144,0.000234,58.47,N/A,41.12,0.56,0.02,0.25,0.41
2020_00333,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.062163,0.067324,69.30,23,77,0.000080,0.036338,0.036417,N/A,0.025433,0.000330,0.000012,0.000158,0.000312,58.58,N/A,40.91,0.53,0.02,0.25,0.50
2020_00340,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.064086,0.060825,71.79,21,79,0.000081,0.037162,0.037244,N/A,0.026445,0.000351,0.000015,0.000163,0.000397,58.11,N/A,41.27,0.55,0.02,0.25,0.62
2020_00341,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.069154,0.059573,72.96,26,74,0.000081,0.040497,0.040578,N/A,0.028218,0.000353,0.000014,0.000166,0.000358,58.68,N/A,40.80,0.51,0.02,0.24,0.52
2020_00357,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.018622,0.020284,25.48,5,95,0.000100,0.010177,0.010277,N/A,0.008335,0.000146,0.000013,0.000056,0.000010,55.19,N/A,44.76,0.78,0.07,0.30,0.05
2020_00358,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.016595,0.015415,21.63,0,100,0.000095,0.009047,0.009142,N/A,0.007453,0.000114,0.000012,0.000048,0.000000,55.09,N/A,44.91,0.68,0.08,0.29,0.00
2020_00361,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.020403,0.017054,24.44,0,100,0.000093,0.011474,0.011567,N/A,0.008836,0.000129,0.000012,0.000056,0.000000,56.69,N/A,43.31,0.63,0.06,0.27,0.00
2020_00363,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.022179,0.017523,29.25,0,100,0.000098,0.012293,0.012392,N/A,0.009787,0.000136,0.000013,0.000065,0.000000,55.87,N/A,44.13,0.61,0.06,0.29,0.00
2020_00374,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.022036,0.021113,27.02,3,97,0.000095,0.012271,0.012366,N/A,0.009646,0.000134,0.000012,0.000060,0.000025,56.12,N/A,43.77,0.61,0.05,0.27,0.11
2020_00376,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.024495,0.023702,31.86,5,95,0.000097,0.013669,0.013766,N/A,0.010701,0.000171,0.000014,0.000071,0.000027,56.20,N/A,43.69,0.70,0.06,0.29,0.11
2020_00403,3,3,3,2,0.9,0.9,0.005,20.0,100.00,0.022036,0.022266,26.44,3,97,0.000092,0.012391,0.012483,N/A,0.009529,0.000131,0.000020,0.000058,0.000025,56.65,N/A,43.24,0.60,0.09,0.26,0.11
