puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_45_1,3,3,3,2,0.3,0.9,0.005,120.0,69.00,36.813779,27.742571,1472.36,67,2,0.005997,12.742958,12.748955,N/A,23.549964,0.030506,0.000046,0.044223,0.514860,34.63,N/A,63.97,0.08,0.00,0.12,1.40
inst25x25_45_11,3,3,3,2,0.3,0.9,0.005,120.0,95.00,16.782163,16.008360,608.78,87,8,0.005726,8.963306,8.969031,N/A,7.233044,0.015927,0.000014,0.025581,0.580089,53.44,N/A,43.10,0.09,0.00,0.15,3.46
inst25x25_45_14,3,3,3,2,0.3,0.9,0.005,120.0,100.00,4.177058,3.438042,187.08,69,31,0.004461,2.954489,2.958950,N/A,1.111333,0.003591,0.000009,0.005206,0.106775,70.84,N/A,26.61,0.09,0.00,0.12,2.56
inst25x25_45_15,3,3,3,2,0.3,0.9,0.005,120.0,47.00,44.403781,32.810055,1542.70,46,1,0.005819,13.204181,13.209999,N/A,30.146469,0.042820,0.000063,0.074359,1.047313,29.75,N/A,67.89,0.10,0.00,0.17,2.36
inst25x25_45_2,3,3,3,2,0.3,0.9,0.005,120.0,70.00,19.961510,18.752317,805.83,67,3,0.006162,9.615241,9.621403,N/A,10.131964,0.016691,0.000017,0.024207,0.208143,48.20,N/A,50.76,0.08,0.00,0.12,1.04
inst25x25_45_3,3,3,3,2,0.3,0.9,0.005,120.0,52.00,37.169133,28.551596,1365.10,52,0,0.006016,12.536297,12.542313,N/A,24.157080,0.028298,0.000014,0.042825,0.469740,33.74,N/A,64.99,0.08,0.00,0.12,1.26
inst25x25_45_4,3,3,3,2,0.3,0.9,0.005,120.0,61.00,45.910882,37.051767,1900.33,59,2,0.006278,12.686131,12.692408,N/A,32.543112,0.039016,0.000039,0.058542,0.675362,27.65,N/A,70.88,0.08,0.00,0.13,1.47
inst25x25_45_6,3,3,3,2,0.3,0.9,0.005,120.0,48.00,27.278590,25.006424,1108.58,47,1,0.006066,10.926864,10.932930,N/A,16.002123,0.022780,0.000023,0.033844,0.343537,40.08,N/A,58.66,0.08,0.00,0.12,1.26
inst25x25_45_7,3,3,3,2,0.3,0.9,0.005,120.0,85.00,25.450078,26.705341,976.74,85,0,0.005777,10.118569,10.124346,N/A,15.006843,0.019983,0.000011,0.029633,0.318890,39.78,N/A,58.97,0.08,0.00,0.12,1.25
inst25x25_45_8,3,3,3,2,0.3,0.9,0.005,120.0,87.00,25.383249,30.129314,978.94,78,9,0.005985,9.274158,9.280142,N/A,15.783204,0.020126,0.000009,0.028798,0.319904,36.56,N/A,62.18,0.08,0.00,0.11,1.26
