puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_40_10,3,3,3,2,0.3,0.9,0.005,120,100,14.257756,12.501338,394.54,91,9,0.005359,8.147432,8.152791,N/A,5.974361,0.008081,0.000008,0.012494,0.130605,57.18,N/A,41.9,0.06,0,0.09,0.92
inst25x25_40_30,3,3,3,2,0.3,0.9,0.005,120,61,35.287722,33.287261,960.93,59,2,0.005371,11.613798,11.619169,N/A,23.282737,0.019874,0.000007,0.031206,0.385817,32.93,N/A,65.98,0.06,0,0.09,1.09
inst25x25_40_50,3,3,3,2,0.3,0.9,0.005,120,61,27.829774,24.910701,762.48,59,2,0.005399,11.540528,11.545927,N/A,15.998146,0.015764,0.000014,0.024078,0.285701,41.49,N/A,57.49,0.06,0,0.09,1.03
inst25x25_40_57,3,3,3,2,0.3,0.9,0.005,120,69,23.413876,23.562892,630.97,67,2,0.005489,10.505174,10.510663,N/A,12.657685,0.01298,0.000003,0.020599,0.245528,44.89,N/A,54.06,0.06,0,0.09,1.05
inst25x25_40_62,3,3,3,2,0.3,0.9,0.005,120,46,27.610638,23.709381,778.7,45,1,0.005348,11.760794,11.766142,N/A,15.599085,0.01606,0.000017,0.025056,0.245411,42.61,N/A,56.5,0.06,0,0.09,0.89
inst25x25_40_79,3,3,3,2,0.3,0.9,0.005,120,81,25.258652,22.940952,697.64,77,4,0.005387,10.798201,10.803588,N/A,14.205294,0.014391,0.000007,0.02288,0.24977,42.77,N/A,56.24,0.06,0,0.09,0.99
inst25x25_40_80,3,3,3,2,0.3,0.9,0.005,120,96,15.533696,14.511262,429.18,84,12,0.005232,8.355518,8.36075,N/A,7.045907,0.008765,0.000008,0.013784,0.127039,53.82,N/A,45.36,0.06,0,0.09,0.82
inst25x25_40_89,3,3,3,2,0.3,0.9,0.005,120,98,19.016889,18.654457,546.95,90,8,0.005405,9.311168,9.316572,N/A,9.529069,0.01123,0.000007,0.017234,0.171247,48.99,N/A,50.11,0.06,0,0.09,0.9
inst25x25_40_9,3,3,3,2,0.3,0.9,0.005,120,88,22.028285,22.336688,622.55,83,5,0.005454,9.802208,9.807662,N/A,11.983754,0.012879,0.000007,0.021201,0.236868,44.52,N/A,54.4,0.06,0,0.1,1.08
inst25x25_40_99,3,3,3,2,0.3,0.9,0.005,120,89,23.562478,23.255817,578.26,84,5,0.006635,10.986181,10.992816,N/A,12.261554,0.01437,0.00001,0.02317,0.308108,46.65,N/A,52.04,0.06,0,0.1,1.31
